0,1,2,3,4
Jan 29,00:00:28,24.64.208.134 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=70 ID=55012 PROTO=UDP SPT=24128,1026,492
Jan 29,00:00:28,24.64.208.134 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=70 ID=55013 PROTO=UDP SPT=24128,1027,492
Jan 29,00:00:28,24.64.208.134 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=70 ID=55014 PROTO=UDP SPT=24128,1028,492
Jan 29,00:02:42,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:02:42,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:02:42,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:02:42,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:04:42,72.197.8.56 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=14954 PROTO=UDP SPT=9258,40686,31
Jan 29,00:04:42,71.228.199.109 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=110 ID=8669 PROTO=UDP SPT=37091,40686,31
Jan 29,00:04:42,99.248.20.48 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=119 ID=7432 PROTO=UDP SPT=48725,40686,31
Jan 29,00:04:42,75.117.31.43 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=109 ID=15526 PROTO=UDP SPT=3122,40686,31
Jan 29,00:04:42,58.160.93.74 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=106 ID=65441 PROTO=UDP SPT=24824,40686,31
Jan 29,00:06:00,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:06:00,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:06:00,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:06:00,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
